full_site_address,Latitude,Longitude,total_precipitation_mm,rainy_days,total_snowfall_cm,snowy_days,days_below_freezing,total_sunshine_hours,days_pleasant_temp,avg_daily_max_windspeed_ms
"Blue Penguin Douglasville , 5897 Fairburn Rd , Douglasville , GA , 30134",33.7515279,-84.7264667,1519.15,140.1,4.087999999999999,2.2,30.0,3151.433443888889,159.8,15.775615165805823
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,1390.4499999999998,135.8,0.9870000000000001,1.0,23.1,3195.1124038888893,156.4,15.100791301744142
"Blue Penguin Marietta , 2204 Roswell Rd , Marietta , GA , 30062",33.970545,-84.4879308,1578.1200000000001,141.0,4.921,2.7,29.8,3169.2323991666663,160.2,16.591556778201962
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,1486.6100000000001,136.7,5.341,3.1,27.7,3133.4465755555552,154.1,15.406986900217083
"Blue Sky Englewood , 3718 S Broadway , Englewood , CO , 80113",39.6490375,-104.9874134,460.99000000000007,77.6,112.29400000000001,48.0,152.7,3580.411165277778,124.4,17.193267460139232
"BlueWave Alamo , 1101 US-83 BUS , Alamo , TX , 78516",26.183442,-98.1236973,712.4800000000001,90.5,0.168,0.3,0.8,3416.456922222222,120.0,24.66592544352122
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,1872.6600000000003,164.7,0.616,0.6,3.5,3213.854486944444,158.6,19.873957257279734
"BlueWave Barker Cypress , 11720 Barker Cypress Rd , Cypress , TX , 77433",29.9455795,-95.6766007,1662.1200000000001,151.7,0.742,0.5,4.8,3160.9868805555557,152.2,18.68118429523168
"BlueWave Beaumont , 3820 College St , Beaumont , TX , 77701",30.0688039,-94.1328835,1856.8100000000002,159.8,0.882,0.6,3.8,3201.3134405555556,157.3,18.06045115652369
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,538.8599999999999,61.1,1.393,0.8,2.8,3425.8503150000006,130.3,21.158899169099485
"BlueWave Brownsville , 7115 S Padre Island Hwy , Brownsville , TX , 78521",25.9424539,-97.4307416,825.99,110.6,0.238,0.2,0.6,3391.8984308333334,138.5,25.000903061606408
"BlueWave Brownsville 2 , 2180 Ruben M Torres Blvd , Brownsville , TX , 78526",25.9502732,-97.4829166,825.99,110.6,0.238,0.2,0.6,3391.8984308333334,136.7,25.000903061606408
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",29.5725582,-98.2389545,1130.75,119.4,1.225,0.9,5.9,3169.1720869444443,146.3,19.54871105621678
"BlueWave Cinco Ranch , 24902 FM 1093 , Katy , TX , 77494",29.6986105,-95.8090925,1500.55,145.5,0.6789999999999999,0.7,4.5,3202.2359202777775,149.1,19.534938019312822
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",30.2091694,-95.4239756,1750.3400000000001,152.9,1.001,0.6,4.8,3142.6827222222223,152.1,16.19091122089977
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",29.3891844,-100.9047145,508.19999999999993,65.6,1.939,1.1,3.3,3442.6468119444444,132.1,23.41641904334157
"BlueWave Edinburg 2 , 1382 W University Dr , Edinburg , TX , 78539",26.3027753,-98.1765981,687.05,86.7,0.203,0.3,0.8,3444.1073750000005,116.6,24.127793697133015
"BlueWave Eldridge , 1665 Eldridge Pkwy , Houston , TX , 77077",29.7525822,-95.6249393,1669.65,154.4,0.8539999999999999,0.6,4.6,3152.1708505555553,152.4,19.185028894378323
"BlueWave FM2920 , 5907 FM 2920 Rd , Spring , TX , 77388",30.0737484,-95.5076692,1778.03,156.1,0.861,0.5,4.6,3148.4030777777775,153.4,17.986180702148364
"BlueWave Fry , 20219 FM 529 , Cypress , TX , 77433",29.8792344,-95.7192126,1578.3,148.9,0.9800000000000001,0.5,4.8,3191.2744644444447,150.2,19.107773186615763
