full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,nearby_businesses_count,business_names
"Blue Iguana South Fremont , 4304 S Fremont Ave , Springfield , MO , 65804",37.1353132,-93.2716546,Blue Iguana Car Wash,37.1353132,-93.27165459999999,1,Vogue Cleaners
"Blue Iguana Sunshine , 1640 E Sunshine St , Springfield , MO , 65804",37.1810398,-93.2653512,Blue Iguana Car Wash,37.1810398,-93.2653512,4,"Hong Kong Inn Restaurant, Traffic Law Center - Springfield, Feedback School of Music, A1 Premium Acceptance"
"Blue Iguana West Kearney , 1137 W Kearney St , Springfield , MO , 65803",37.241265,-93.304637,Blue Iguana Car Wash,37.241265,-93.304637,0,
"Blue Jay Car Wash , 2625 S McCall Rd , Englewood , FL , 34224",26.9341751,-82.3158497,ERROR,ERROR,ERROR,ERROR,ERROR
"Blue Penguin Douglasville , 5897 Fairburn Rd , Douglasville , GA , 30134",33.7515279,-84.7264667,Blue Penguin Car Wash,33.7515279,-84.7264667,0,
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,Blue Penguin Car Wash,33.2738091,-84.2918572,2,"higi, United Bank"
"Blue Penguin Marietta , 2204 Roswell Rd , Marietta , GA , 30062",33.970545,-84.4879308,Blue Penguin Car Wash,33.970545,-84.4879308,4,"One Luv Smoke 'n Vape - Marietta | Best Smoke Vape Shop Marietta, Lumi's Esthetics LLC, Bitbox Bitcoin ATM, Sam's Paradise Vape, CBD, Smoke, Kratom"
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,Blue Rhino Carwash & Emmissions,34.0440574,-84.69490929999999,1,3 Minute Express Wash
"Blue Sky Englewood , 3718 S Broadway , Englewood , CO , 80113",39.6490375,-104.9874134,Blue Sky Car Wash,39.6490267,-104.9874205,9,"Englewood Applaince Repair, Noon Thai Plus Vegan, Foot Spa and Massage, Thai Food, All Ray's Vacuum & Lamp Repair, Vacuum Repair Denver, Eureka Vacuum Sales & Services, My Espresso Fix, Dyson Vacuum Denver by MTV"
"BlueWave Alamo , 1101 US-83 BUS , Alamo , TX , 78516",26.183442,-98.1236973,BlueWave Express Car Wash,26.183442,-98.1236973,1,JOE'S General & High Performance Mechanic
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,BlueWave Express Car Wash,29.421803200000003,-95.2267778,1,Western Union
"BlueWave Barker Cypress , 11720 Barker Cypress Rd , Cypress , TX , 77433",29.9455795,-95.6766007,BlueWave Express Car Wash,29.945579499999997,-95.6766007,9,"Stone Gate Center, Primo Water Refill, Farmers Insurance - Paul Wilson, Vitrum Smoke Shop - Barker Cypress, Cypress General Contractor, Halali, Next Up Barber Studio - Cypress, K & S Kolaches & More, ATM (ATM Link, Inc.)"
"BlueWave Beaumont , 3820 College St , Beaumont , TX , 77701",30.0688039,-94.1328835,BlueWave Express Car Wash,30.0688039,-94.13288349999999,5,"TenderFix by Noah Schnapp, Pardon My Cheesesteak, IHOP, MLB Ballpark Bites, Texas Car Title and Payday Loan Services, Inc."
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,BlueWave Express Car Wash,28.698886299999998,-100.4849123,2,"HTeaO - Eagle Pass (375 & Indio), Chick-fil-A"
"BlueWave Brownsville , 7115 S Padre Island Hwy , Brownsville , TX , 78521",25.9424539,-97.4307416,BlueWave Express Car Wash,25.9424539,-97.43074159999999,0,
