full_site_address,Latitude,Longitude,car_wash_name,distance_from_original_location,car_wash_address,nearest_business_name_1,nearest_business_address_1,distance_car_wash_nearest_business_1,nearest_business_name_2,nearest_business_address_2,distance_car_wash_nearest_business_2,nearest_business_name_3,nearest_business_address_3,distance_car_wash_nearest_business_3,nearest_business_name_4,nearest_business_address_4,distance_car_wash_nearest_business_4,nearest_business_name_5,nearest_business_address_5,distance_car_wash_nearest_business_5,multiple_business_count
"Big Danu0027s Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,Big Dan's Car Wash,0.07774174653927324,"305 Ridgewalk Pkwy, Woodstock, GA 30188, USA",Ridgewalk Bottle Shop,"311 Ridgewalk Pkwy, Woodstock, GA 30188, USA",0.02164742790069157,Valvoline Instant Oil Change,"301 Ridgewalk Pkwy, Woodstock, GA 30189, USA",0.024483141966206177,NOIRE Nail Bar,"289 Ridgewalk Pkwy Suite 104, Woodstock, GA 30188, USA",0.06959550627965878,Xfinity Store by Comcast Branded Partner,"289 Ridgewalk Pkwy Suite 112, Woodstock, GA 30188, USA",0.07449815568949114,CityVet | Woodstock Veterinary Clinic,"289 Ridgewalk Pkwy Suite 108, Woodstock, GA 30188, USA",0.0777417465399761,0
"Big Danu0027s Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,Big Dan's Car Wash,0.01755115398353682,"300 Gold Creek Trail, Woodstock, GA 30188, USA","SUR MedSpa (Medical Spa) - Woodstock, GA","310 Gold Creek Trail #300, Woodstock, GA 30188, USA",0.033735619555313935,Medical Waste Pros,"310 Gold Creek Trail #300, Woodstock, GA 30188, USA",0.033735619555313935,"Woodstock Family Practice & Urgent Care: Dr. James Lee, DO","310 Gold Creek Trail #200, Woodstock, GA 30188, USA",0.038047662570744496,NIVA Health of Atlanta,"310 Gold Creek Trail #100, Woodstock, GA 30188, USA",0.04673103913729844,Zaxbys Chicken Fingers & Buffalo Wings,"107 Claremore Dr, Woodstock, GA 30188, USA",0.054331401012510286,0
"Big DanÃ¢â‚¬â„¢s Bradenton , 5225 24th St E , Bradenton , FL , 34203",27.448152,-82.5335489,Sud Stop Car Wash,0.017414141372200643,"5225 24th St E, Bradenton, FL 34203, USA",24th St E/53rd Ave E,"Florida 34203, USA",0.03810407718835459,AI Marketing Team,"2333 53rd Ave E #1735, Oneco, FL 34264, USA",0.05943055578673274,Bradenton Gladiators Youth Football & Cheerleading,"#2276, Oneco, FL 34264, USA",0.060830545110842314,"Shorty’z Landscaping, LLC","Suite 632, Oneco, FL 34264, USA",0.060830545110842314,United States Postal Service,"2333 53rd Ave E, Oneco, FL 34264, USA",0.062004684438750186,0
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,Big Kahuna Car Wash,0.0,"61 Commodore St, Hazard, KY 41701, USA",Fazoli's,"Hazard, KY 41701, USA",0.04750027782264455,Steak 'n Shake,"54 Commodore St, Hazard, KY 41701, USA",0.05169917932142393,Go Time 8,"32 Constitution Ave, Hazard, KY 41701, USA",0.1035350965587857,Western Branch Diesel,"1404 KY-80, Hazard, KY 41701, USA",0.11136037107928129,Moe's SW Grill,"32 Constitution Avenue, Hazard, KY 41701, USA",0.11215806788063155,0
"Big Peach Conyers , 1935 Hwy 138 SE , Conyers , GA , 30013",33.671567,-83.982096,Big Peach Car Wash,4.39515090988607e-13,"1935 GA-138, Conyers, GA 30013, USA",Purple Garden Health Bar,"1927 GA-138 Suite 1100, Conyers, GA 30013, USA",0.032217257221736566,Minute Key,"1901 Hwy 138 SE, Conyers, GA 30013, USA",0.05141014338870201,Thacker Chiropractic,"NE, GA-138 Ste 500, Conyers, GA 30013, USA",0.05272434017858989,Procare Cleaners,"1927 GA-138, Conyers, GA 30013, USA",0.05531821337677405,Modern Insurance Georgia,"1927 Eastview Pkwy NE, Conyers, GA 30013, USA",0.055453862646569645,0
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,Big Peach Car Wash - Forsyth,0.0,"126 N Lee St, Forsyth, GA 31029, USA",Big Peach Express Oil Change,"289 N Lee St, Forsyth, GA 31029, USA",0.056972172460081495,Hardee’s,"260 N Lee St, Forsyth, GA 31029, USA",0.06319955537734276,Domino’s Pizza,"140 N Lee St, Forsyth, GA 31029, USA",0.06668274999068118,Holly Hoenes,"164 N Lee St, Forsyth, GA 31029, USA",0.06627555190020107,Subway,"180 N Lee St, Forsyth, GA 31029, USA",0.0667066317416248,0
"Big Peach Gray Hwy , 965 Gray Hwy , Macon , GA , 31211",32.8535469,-83.618337,Big Peach Car Wash,7.384380704112171e-13,"965 Gray Hwy, Macon, GA 31211, USA",Arby's,"975 Gray Hwy, Macon, GA 31211, USA",0.01892592325469676,Taco Bell,"945 Gray Hwy, Macon, GA 31211, USA",0.022861030365043156,Flash Foods,"997 Gray Hwy, Macon, GA 31211, USA",0.04366387700682471,Gx Market,"Macon, GA 31211, USA",0.04465610948280545,"Cloud 9 Smoke, Vape, & Hookah Co. - Macon","980 Gray Hwy, Macon, GA 31211, USA",0.04606684975906862,0
"Big Peach Griffin , 1710 Zebulon Rd , Griffin , GA , 30224",33.1943204,-84.2838876,Big Peach Car Wash,4.39515090988607e-13,"1710 Zebulon Rd, Griffin, GA 30224, USA",Waffle House,"1710 Zebulon Rd, Griffin, GA 30224, USA",0.022072834430636047,Liquorgate,"1740 Zebulon Rd, Griffin, GA 30224, USA",0.030894452330863797,Coinstar Kiosk - Bitcoin ATM,"1734 Zebulon Rd, Griffin, GA 30224, USA",0.032120438019495434,Bitstop Bitcoin ATM,"1700 Zebulon Rd, Griffin, GA 30224, USA",0.04137317506909666,J-V's Corner,"1700 Zebulon Rd, Griffin, GA 30224, USA",0.04459912969986519,1
"Big Peach Hardeman , 1820 Hardeman Ave , Macon , GA , 31201",32.8410142,-83.647132,Big Peach Car Wash & Express Oil Change,0.0,"1820 Hardeman Ave, Macon, GA 31201, USA",Big Peach Express Oil Change,"1820 Hardeman Ave, Macon, GA 31201, USA",0.027794045878048606,"Dr. Richard A. Ulrich, MD","1867 Forsyth St, Macon, GA 31201, USA",0.035279015041831195,"The Law Office of Joe Boyd, LLC","1841 Hardeman Ave, Macon, GA 31201, USA",0.03897082033420432,"Boyd & Cidado, LLC","1841 Hardeman Ave, Macon, GA 31201, USA",0.04266773421396075,"The Law Office of John C. Fleming, LLC","1841 Hardeman Ave, Macon, GA 31201, USA",0.04266773421396075,1
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,Big Peach Car Wash,0.0,"583 E 3rd St, Jackson, GA 30233, USA",Taco Bell,"561 E 3rd St, Jackson, GA 30233, USA",0.022112407386925104,World Finance,"621 E 3rd St, Jackson, GA 30233, USA",0.023718123567478534,Little Caesars Pizza,"574 E 3rd St, Jackson, GA 30233, USA",0.04168907888567134,Days Inn by Wyndham Jackson,"625 E 3rd St, Jackson, GA 30233, USA",0.04257518451298659,bp,"632 E 3rd St, Jackson, GA 30233, USA",0.04770856507500932,0
"Big Peach Napier , 4461 Napier Ave , Macon , GA , 31210",32.8679688,-83.6981643,Big Peach Car Wash,0.005574452862662264,"4461 Napier Ave, Macon, GA 31210, USA",Platinum Automotive Group LLC,"4451 Napier Ave, Macon, GA 31210, USA",0.060353841867209795,Planters Bank,"Macon, GA 31210, USA",0.07186775755996327,M T Nails,"4420 Forsyth Rd Suite 180, Macon, GA 31210, USA",0.09194254782274455,Orangetheory Fitness,"4357 Forsyth Rd #250, Macon, GA 31210, USA",0.10367052572272319,The Lookshop Aesthetics,"4420 Forsyth Rd #125, Macon, GA 31210, USA",0.10142422910449814,0
