full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,rating,rating_count,business_status,monday_operational_hours,tuesday_operational_hours,wednesday_operational_hours,thursday_operational_hours,friday_operational_hours,saturday_operational_hours,sunday_operational_hours
"Suds Deluxe Pasadena , 3327 Spencer Hwy , Pasadena , TX , 77504",29.6654019,-95.1937598,Suds Deluxe Car Wash,29.665401900000003,-95.1937598,4.5,398,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Suds Deluxe San Marcos , 233 Wonder World Dr , San Marcos , TX , 78666",29.8637753,-97.9601867,Suds Deluxe Car Wash,29.863775300000004,-97.9601867,4.5,323,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Suds Deluxe Stafford , 12119 Murphy Rd , Stafford , TX , 77477",29.645968,-95.5648044,Suds Deluxe Car Wash,29.645968,-95.5648044,4.8,403,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Suds Deluxe Tomball , 24624 Kuykendahl Rd , Tomball , TX , 77375",30.1200462,-95.5541136,Suds Deluxe Car Wash,30.120046199999997,-95.55411360000001,4.5,438,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM
"Suds N Vac , 22510 Ecorse Rd , Taylor , MI , 48180",42.2561938,-83.2560193,Suds N Vac Auto Wash,42.2561938,-83.25601929999999,4.4,224,OPERATIONAL,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,7:30 AM – 7:30 PM,8:00 AM – 6:00 PM
"Sudzyu0027s Car Wash , 2624 Anderson Hwy , Powhatan , VA , 23139",37.5243866,-77.8264842,Flagstop Car Wash,37.523847599999996,-77.826104,4.9,192,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Summerville , 10805 Commerce St , Summerville , GA , 30747",34.4900693,-85.3417458,LUV Car Wash,34.4901605,-85.3416508,4.8,1109,OPERATIONAL,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM,8:00 AM – 8:00 PM
"Sun Splash , 914 N Stratford Rd , Moses Lake , WA , 98837",47.1408544,-119.2794176,Sun Splash Car Wash,47.140854399999995,-119.27941759999999,4.6,381,OPERATIONAL,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,7:30 AM – 8:00 PM,Closed
"Sunny Daze Car Wash , 609 N Mayo Trl , Paintsville , KY , 41240",37.8254161,-82.8228864,SunnyDaze Car Wash,37.8254161,-82.8228864,3.4,21,OPERATIONAL,7:30 AM – 8:30 PM,7:30 AM – 8:30 PM,7:30 AM – 8:30 PM,7:30 AM – 8:30 PM,7:30 AM – 8:30 PM,9:30 AM – 8:30 PM,7:30 AM – 8:30 PM
"Sunrise Car Wash , 1820 Sunrise Hwy , Merrick , NY , 11566",40.6611786,-73.5589132,Sunrise Car Wash,40.6611786,-73.55891319999999,4.1,236,OPERATIONAL,7:30 AM – 5:00 PM,7:30 AM – 5:00 PM,7:30 AM – 5:00 PM,7:30 AM – 5:00 PM,7:30 AM – 5:00 PM,7:30 AM – 5:00 PM,7:30 AM – 5:00 PM
