full_site_address,Latitude,Longitude,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,49,0.08010240044048532,0.2120191895762895,0.22150501787042526,0.2520853297417671,0.4157469611498182,0.4663384782411922,0.46786880625933985,0.47999596681658147,0.5029552999184418,0.5037824138265691
"Aloha Car Wash Bothell , 17818 Bothell Everett Hwy , Bothell , WA , 98012",47.8359328,-122.2121577,28,0.11421917302820947,0.34961107091873395,0.5346725526793424,0.9707260396950766,1.0093640147498275,1.1032647076970417,1.104223001886031,1.130800726070818,1.1719796707635741,1.1892960864675652
"Aloha Car Wash Woodinville , 13001 NE 177th Pl , Woodinville , WA , 98072",47.7553696,-122.1661391,50,0.03937556706122282,0.07027566929347269,0.17835104953708114,0.23911623237141447,0.2629666390466928,0.49706866543335265,0.5123576510418062,0.5492853422193443,0.6208381317599467,0.6232493855952296
"Alpine Express , 2235 Alpine Blvd , Alpine , CA , 91901",32.8352883,-116.7654836,6,0.07055865597422768,0.5720253028630525,0.7620377527933819,0.8143292810446375,0.8316755123857126,0.9548932938291547,,,,
"Alpine Wash , 250 S Denton Tap Rd , Coppell , TX , 75019",32.9641433,-96.9930085,36,0.2637990712768236,0.35613378111236416,0.4224274634823067,0.5733812609107597,0.6128584686561066,0.6628649446856884,0.8600090777336135,0.8689540490381297,0.8994747295519101,1.0172025329594916
"Alton Town Center , 5200 Donald Ross Rd , Palm Beach Gardens , FL , 33418",26.8819403,-80.1164588,17,0.16070970128788012,0.39034959688624893,0.46902421467109634,0.6624159269652672,0.776665203888589,0.7892613066845696,0.9193741086934785,1.027646176029773,1.2742284371511272,1.3047199630023194
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,15,0.0583086943409997,0.2845315962013779,0.7845398234586777,1.249308283474749,1.2825466961810215,1.3067959601303205,1.3844944773230783,1.4038077611369584,1.4526568354619438,1.5543728066408404
"American Pride Garner , 1421 US-70 , Garner , NC , 27529",35.722175,-78.64549,37,0.24004760463216435,0.26468468630949216,0.35800461302614556,0.37595934493432853,0.43731112286949775,0.46034927459535335,0.4849092901729726,0.591302003822345,0.6294106872526333,0.6494034573597454
"American Pride Glenwood , 6450 Glenwood Ave , Raleigh , NC , 27612",35.858959,-78.7056567,31,0.03536000301887458,0.18112709217279446,0.39257371393022356,0.4057769397946791,0.416062108028563,0.421322955628144,0.4961386226404214,0.6178881317858184,0.6855812832744995,0.750391310970579
"American Pride Newbern , 3810 New Bern Ave , Raleigh , NC , 27610",35.79766,-78.5752657,36,0.12749632482986362,0.3686750510549999,0.3837474799275337,0.5459341077512949,0.6609451972651419,0.6818436195756535,0.7204128596954156,0.7220451763764223,0.8297671082360395,0.9114693591268502
