Company Name,Headquarters,Established Date,Site Count,Financial Sponsor,States,Website,,,,,,,,,,,,,,,,,,,
iShine Express Car Wash & Detail,Texas,,13,None,Texas,https://ishinecarwash.com/,,,,,,,,,,,,,,,,,,,
Jacksons,Arizona,1980,13,None,Arizona,https://jacksonswash.com/,,,,,,,,,,,,,,,,,,,
Speedy Stop Car Wash,Texas,1983,13,None,Texas,https://speedystop.com/,,,,,,,,,,,,,,,,,,,
Team Car Wash,New Jersey,2020,13,None,New Jersey,https://theteamcarwash.com/,,,,,,,,,,,,,,,,,,,
Wash-Rite Express Car Wash,Georgia,2021,13,Bradham Capital Holdings,Ohio | Pennsylvania | West Virginia,https://www.wash-riteunlimited.com,,,,,,,,,,,,,,,,,,,
WashU Car Wash,Illinois,2019,13,Peterson Partners,Illinois | Nevada,https://www.washucarwash.com/,,,,,,,,,,,,,,,,,,,
White Horse Auto Wash,Virginia,2010,13,None,Virginia | South Carolina,https://www.whitehorseautowash.com/,,,,,,,,,,,,,,,,,,,
Fast Splash Car Wash,Michigan,1914,12,None,Michigan,https://www.fastsplashcarwash.com/,,,,,,,,,,,,,,,,,,,
Hang 10 Car Wash,Virginia,2023,12,None,Florida | New Jersey | South Carolina | Virginia,https://hang10carwash.com/,,,,,,,,,,,,,,,,,,,
Raindrop Car Wash,Alabama,2017,12,None,Alabama,https://raindropcarwash.com/,,,,,,,,,,,,,,,,,,,
RocketFast Car Wash,Louisiana,2013,12,None,Louisiana | Arkansas | Texas,https://www.rocketfastcarwash.com/,,,,,,,,,,,,,,,,,,,
Super Clean Car Wash,California,1990,12,None,California,https://supercleanmycar.com/,,,,,,,,,,,,,,,,,,,
Time To Shine Car Wash,Tennessee,2000's,12,None,Oklahoma | South Carolina | Kentucky,https://timetoshinecarwash.com/,,,,,,,,,,,,,,,,,,,
WashX Car Wash,Maryland,2023,12,None,Maryland | Delaware,https://washx.space/,,,,,,,,,,,,,,,,,,,
Xtreme Auto Wash,Oklahoma,2006,12,None,Oklahoma,https://www.xtremeautowash.com/,,,,,,,,,,,,,,,,,,,
7 Flags Car Wash,California,1964,11,None,California,https://7flagscarwash.com/,,,,,,,,,,,,,,,,,,,
Cheetah Clean Auto Wash,Kentucky,2007,11,None,Kentucky | Tennessee,https://cheetahclean.com/,,,,,,,,,,,,,,,,,,,
Ducky's Car Wash,California,1993,11,None,California,https://duckysexpress.com/,,,,,,,,,,,,,,,,,,,
Groove Car Wash,Texas,2022,11,Vaquero Ventures,Texas | Florida | Oklahoma,https://www.groovecarwash.com/,,,,,,,,,,,,,,,,,,,
Mr Wash Car Wash,Virginia,,11,None,Virginia | Maryland | Delaware,https://mrwash.com/,,,,,,,,,,,,,,,,,,,
Red Carpet Car Wash,California,1950,11,None,California,https://www.redcarpetcarwash.com/,,,,,,,,,,,,,,,,,,,
Scrub-a-Dub,Wisconsin,1947,11,None,Wisconsin,https://scrubadub.biz/,,,,,,,,,,,,,,,,,,,
Shine Time Super Wash,Alabama,2007,11,None,Alabama | Mississippi,https://www.shinetimesuperwash.com/,,,,,,,,,,,,,,,,,,,
Tsunami Express,Oregon,2015,11,Point72 Ventures,Wisconsin | Indiana | Minnesota,https://www.tsunamiexpress.com/,,,,,,,,,,,,,,,,,,,
Wash Factory Car Wash,Georgia,2011,11,None,Georgia | Tennessee,https://www.washfactorycarwash.com/,,,,,,,,,,,,,,,,,,,
Xpress Car Wash,Louisiana,,11,None,Louisiana | Texas,https://timeitxpresswash.com/,,,,,,,,,,,,,,,,,,,
Blue Penguin Car Wash,Georgia,2022,10,None,Georgia | Florida,https://www.bluepenguincarwash.com/,,,,,,,,,,,,,,,,,,,
BriteworX Car Washery,Missouri,2016,10,None,Missouri | Illinois,https://briteworx.com/,,,,,,,,,,,,,,,,,,,
Clean Sweep Car Wash,Kentucky,1993,10,None,Illinois | Iowa | Kentucky,https://cleansweepcarwash.com/,,,,,,,,,,,,,,,,,,,
Cloud 10 Smartwash,Connecticut,2018,10,None,Pennsylvania | New Jersey,https://cloud10smartwash.com/,,,,,,,,,,,,,,,,,,,
Everclean Car Wash,Illinois,2019,10,None,Illinois,https://evercleancw.com/,,,,,,,,,,,,,,,,,,,
Scenic Suds Car Wash,Tennessee,2018,10,None,Tennessee | Georgia,https://www.scenicsuds.com/,,,,,,,,,,,,,,,,,,,
Scrubby�s Car Wash,South Carolina,2015,10,None,South Carolina | North Carolina,https://scrubbyscarwashes.com/,,,,,,,,,,,,,,,,,,,
Skweeky Kleen Car Wash,Georgia,2005,10,None,Georgia,https://www.skweekykleen.com/,,,,,,,,,,,,,,,,,,,
