full_site_address,Latitude,Longitude,cars_washed,original_address,competitors_count,competitor_1_distance_miles,competitor_1_google_rating,competitor_1_google_user_rating_count,competitor_2_distance_miles,competitor_2_google_rating,competitor_2_google_user_rating_count,competitor_3_distance_miles,competitor_3_google_rating,competitor_3_google_user_rating_count,competitor_4_distance_miles,competitor_4_google_rating,competitor_4_google_user_rating_count,competitor_5_distance_miles,competitor_5_google_rating,competitor_5_google_user_rating_count,competitor_6_distance_miles,competitor_6_google_rating,competitor_6_google_user_rating_count
"Caliber Inverness , 2001 Hwy 44 W , Inverness , FL , 34453",28.83717,-82.3558067,211181,"Caliber Inverness , 2001 Hwy 44 W , Inverness , FL , 34453",0.0,,,,,,,,,,,,,,,,,,
"Canon City , 3110 E Main St , Canon City , CO , 81212",38.4465114,-105.1920275,99507,"Canon City , 3110 E Main St , Canon City , CO , 81212",0.0,,,,,,,,,,,,,,,,,,
"Capitol Car Wash , 3125 Airport Rd , Pierre , SD , 57501",44.3818768,-100.3122439,56568,"Capitol Car Wash , 3125 Airport Rd , Pierre , SD , 57501",0.0,,,,,,,,,,,,,,,,,,
"Carisma Car Wash , 2407 W Dickinson Blvd , Fort Stockton , TX , 79735",30.8937579,-102.9062363,45555,"Carisma Car Wash , 2407 W Dickinson Blvd , Fort Stockton , TX , 79735",0.0,,,,,,,,,,,,,,,,,,
"Carmel Car Wash 3 , 2003 S Goliad St , Rockwall , TX , 75087",32.9118499,-96.4511337,119520,"Carmel Car Wash 3 , 2003 S Goliad St , Rockwall , TX , 75087",2.0,0.487525350775173,4.4,1803.0,0.613608334090245,4.1,912.0,,,,,,,,,,,,
"Cartersville , 1330 Joe Frank Harris Pkwy SE , Cartersville , GA , 30120",34.2071766,-84.8163398,95753,"Cartersville , 1330 Joe Frank Harris Pkwy SE , Cartersville , GA , 30120",2.0,0.025245177291124,,,0.926653030463817,3.5,95.0,,,,,,,,,,,,
"Cartersville , 9 Hillview Ave NE , Cartersville , GA , 30121",34.2065892,-84.8002252,55645,"Cartersville , 9 Hillview Ave NE , Cartersville , GA , 30121",3.0,0.800654633873926,4.9,1348.0,0.918781094396661,4.7,1220.0,0.936635167692202,,,,,,,,,,,
"Castaway Car Wash , 1686 S 8th St , Fernandina Beach , FL , 32034",30.6479175,-81.4592685,59361,"Castaway Car Wash , 1686 S 8th St , Fernandina Beach , FL , 32034",2.0,0.566681266656076,3.5,24.0,0.848264276412442,4.4,133.0,,,,,,,,,,,,
"Cedar Town , 1559 Rome Hwy , Cedartown , GA , 30125",34.045311,-85.2369717,75787,"Cedar Town , 1559 Rome Hwy , Cedartown , GA , 30125",0.0,,,,,,,,,,,,,,,,,,
"Champion - Old Hickory , 1432 Robinson Rd , Old Hickory , TN , 37138",36.2568948,-86.6562578,52791,"Champion - Old Hickory , 1432 Robinson Rd , Old Hickory , TN , 37138",0.0,,,,,,,,,,,,,,,,,,
"Champion CW - HENDER , 1159 W Main St , Hendersonville , TN , 37075",36.3085083,-86.6632137,58818,"Champion CW - HENDER , 1159 W Main St , Hendersonville , TN , 37075",3.0,0.0065247822898616,4.3,200.0,0.113197948293127,2.0,3.0,0.535112747237041,4.7,194.0,,,,,,,,,
"Champion CW - PLVIEW , 101 Ren Mar Dr , Pleasant View , TN , 37146",36.397869,-87.030783,52795,"Champion CW - PLVIEW , 101 Ren Mar Dr , Pleasant View , TN , 37146",1.0,0.0078653542841878,3.7,3.0,,,,,,,,,,,,,,,
"Champion Car Wash , 930 Old US Hwy 1 , Southern Pines , NC , 28387",35.1677913,-79.4033042,21433,"Champion Car Wash , 930 Old US Hwy 1 , Southern Pines , NC , 28387",2.0,0.707150486281873,3.9,199.0,0.759182893344836,,,,,,,,,,,,,,
"Champions CW , 20118 Stone Oak Parkway , San Antonio , TX , 78258",29.6260576,-98.4953595,89164,"Champions CW , 20118 Stone Oak Parkway , San Antonio , TX , 78258",0.0,,,,,,,,,,,,,,,,,,
"Champs Car Wash , 775 N Mustang Rd , Tuttle , OK , 73089",35.3019905,-97.7245565,32534,"Champs Car Wash , 775 N Mustang Rd , Tuttle , OK , 73089",0.0,,,,,,,,,,,,,,,,,,
"Clarksville , 1606 Haynes St , Clarksville , TN , 37043",36.515143,-87.315686,11100,"Clarksville , 1606 Haynes St , Clarksville , TN , 37043",1.0,0.102643769133084,4.6,292.0,,,,,,,,,,,,,,,
"Classic Auto Wash , 289 N Comrie Ave , Johnstown , NY , 12095",43.0191956,-74.3623202,115267,"Classic Auto Wash , 289 N Comrie Ave , Johnstown , NY , 12095",0.0,,,,,,,,,,,,,,,,,,
"Clean Wheels , 3919 Cheyenne Street , Cheyenne , WY , 82001",41.1469765,-104.7615591,76367,"Clean Wheels , 3919 Cheyenne Street , Cheyenne , WY , 82001",2.0,0.287148583058034,4.4,400.0,0.350200123307573,3.8,33.0,,,,,,,,,,,,
"ClearWater - Burleson , 279 NW John Jones Dr , Burleson , TX , 76028",32.523754,-97.3526833,145369,"ClearWater - Burleson , 279 NW John Jones Dr , Burleson , TX , 76028",2.0,0.191994909304013,4.5,176.0,0.200712763262137,2.8,12.0,,,,,,,,,,,,
"ClearWater - Cleburne , 809 W Henderson St , Cleburne , TX , 76033",32.3440449,-97.3974471,208767,"ClearWater - Cleburne , 809 W Henderson St , Cleburne , TX , 76033",1.0,0.843034870978934,3.8,33.0,,,,,,,,,,,,,,,
"ClearWater - Conroe 105 , 14667 Hwy 105 West , Montgomery , TX , 77356",30.3539021,-95.5851161,2198,"ClearWater - Conroe 105 , 14667 Hwy 105 West , Montgomery , TX , 77356",1.0,0.286230253366188,4.1,101.0,,,,,,,,,,,,,,,
"ClearWater - Houston 249 , 6421 West Rd , Houston , TX , 77086",29.9123294,-95.4837309,195556,"ClearWater - Houston 249 , 6421 West Rd , Houston , TX , 77086",4.0,0.141541011010539,4.9,1494.0,0.464805718184147,4.2,790.0,0.465557796992839,,,0.561685743688568,,,,,,,,
"ClearWater - Magnolia , 14206 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2243894,-95.68431,104855,"ClearWater - Magnolia , 14206 Farm to Market Rd 1488 , Magnolia , TX , 77354",2.0,0.263108860081001,3.0,2.0,0.649108252060517,4.1,11.0,,,,,,,,,,,,
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,64232,"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",2.0,0.269707393997934,2.0,4.0,0.59822774457683,4.9,288.0,,,,,,,,,,,,
"Clearview Car Wash East Tawas , 1748 US-23 , East Tawas , MI , 48730",44.2909221,-83.4528286,2154,"Clearview Car Wash East Tawas , 1748 US-23 , East Tawas , MI , 48730",0.0,,,,,,,,,,,,,,,,,,
"Clearview Car Wash Oscoda , 5232 N U.S. 23 , Oscoda , MI , 48750",44.432142,-83.3297029,57294,"Clearview Car Wash Oscoda , 5232 N U.S. 23 , Oscoda , MI , 48750",0.0,,,,,,,,,,,,,,,,,,
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,96040,"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",1.0,0.927790993158278,4.4,172.0,,,,,,,,,,,,,,,
"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",45.0475512,-83.4484188,84286,"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",1.0,0.92417562150659,4.5,238.0,,,,,,,,,,,,,,,
"Coastline Express , 4447 Main St , Shallotte , NC , 28470",33.984025,-78.3666889,127158,"Coastline Express , 4447 Main St , Shallotte , NC , 28470",0.0,,,,,,,,,,,,,,,,,,
"Conway - Old Morrilton Hwy , 1505 Old Morrilton Hwy , Conway , AR , 72032",35.1113002,-92.4448947,47401,"Conway - Old Morrilton Hwy , 1505 Old Morrilton Hwy , Conway , AR , 72032",0.0,,,,,,,,,,,,,,,,,,
"Coors , 5401 Sevilla Ave NW , Albuquerque , NM , 87120",35.1411474,-106.6991857,90649,"Coors , 5401 Sevilla Ave NW , Albuquerque , NM , 87120",0.0,,,,,,,,,,,,,,,,,,
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,81590,"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",3.0,0.205410283800214,4.7,650.0,0.206426403932961,,,0.206426403932961,3.9,99.0,,,,,,,,,
"Covington , 29 Robbins Rd , Covington , TN , 38019",35.5436772,-89.663502,120052,"Covington , 29 Robbins Rd , Covington , TN , 38019",0.0,,,,,,,,,,,,,,,,,,
"Crystal Clean Auto Spa , 75 Old HWY 96 , Bonaire , GA , 31005",32.5488135,-83.5955388,34211,"Crystal Clean Auto Spa , 75 Old HWY 96 , Bonaire , GA , 31005",0.0,,,,,,,,,,,,,,,,,,
"DAVID CHEVROLET , 10225 Niagara Falls Blvd , Niagara Falls , NY , 14304",43.0986208,-78.9422278,27438,"DAVID CHEVROLET , 10225 Niagara Falls Blvd , Niagara Falls , NY , 14304",0.0,,,,,,,,,,,,,,,,,,
"DON'S EXPRESS CARWASH , 200 Waldon Rd , Harlan , KY , 40831",36.8192661,-83.3184822,30725,,,,,,,,,,,,,,,,,,,,
"Dallas Kwik-Mart , 2384 Memorial Highway , Dallas , PA , 18612",41.3313887,-75.9536603,24352,"Dallas Kwik-Mart , 2384 Memorial Highway , Dallas , PA , 18612",1.0,0.899946649923936,2.6,67.0,,,,,,,,,,,,,,,
"Daybreak Market , 19701 Cochran Blvd , Port Charlotte , FL , 33948",27.0167144,-82.1334659,18894,"Daybreak Market , 19701 Cochran Blvd , Port Charlotte , FL , 33948",3.0,0.106141558371162,4.9,2036.0,0.576069784563233,4.4,439.0,0.670385133394643,4.3,3.0,,,,,,,,,
"Delta , 1201 Valley View Dr , Delta , CO , 81416",38.751272,-108.055851,33406,"Delta , 1201 Valley View Dr , Delta , CO , 81416",0.0,,,,,,,,,,,,,,,,,,
"Detricks Conway , 2280 Church St , Conway , SC , 29526",33.85278,-79.0754414,163251,"Detricks Conway , 2280 Church St , Conway , SC , 29526",0.0,,,,,,,,,,,,,,,,,,
