full_site_address,Latitude,Longitude,cars_washed,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"ClearWater - Burleson , 279 NW John Jones Dr , Burleson , TX , 76028",32.523754,-97.3526833,145369,9.0,0.0500334321768305,0.1543066390912535,0.3146897590293512,0.4296015421326596,0.4733574641893193,0.488218381229174,0.6851865122262688,0.747114320058647,0.9203382080721014,
"ClearWater - Cleburne , 809 W Henderson St , Cleburne , TX , 76033",32.3440449,-97.3974471,208767,22.0,0.0633513377792279,0.3104687373844697,0.4324631873315137,0.5821950866301191,0.6170578385093561,0.6219750546183205,0.6632458825962907,0.6751958558875978,0.6894592434986132,0.7035013198149332
"ClearWater - Conroe 105 , 14667 Hwy 105 West , Montgomery , TX , 77356",30.3539021,-95.5851161,2198,1.0,0.9509450105660406,,,,,,,,,
"ClearWater - Houston 249 , 6421 West Rd , Houston , TX , 77086",29.9123294,-95.4837309,195556,16.0,0.0690176024246645,0.2281561421437201,0.2432356246871621,0.3266098966480417,0.5034759339229525,0.5084775066365521,0.510610479840098,0.7181127413315826,0.729093254400597,0.7610994866598909
"ClearWater - Magnolia , 14206 Farm to Market Rd 1488 , Magnolia , TX , 77354",30.2243894,-95.68431,104855,3.0,0.2693850913079052,0.513678281919661,0.5787556513691376,,,,,,,
"ClearWater - Willis East , 111 Holland St , Willis , TX , 77378",30.4229852,-95.4861172,64232,12.0,0.0393994252506348,0.1870246675582194,0.3207381750354436,0.3846498166019488,0.3854188897262142,0.4157537513912619,0.4494566776082054,0.4815790752372488,0.5802674934196822,0.6507286436397377
"Clearview Car Wash East Tawas , 1748 US-23 , East Tawas , MI , 48730",44.2909221,-83.4528286,2154,0.0,,,,,,,,,,
"Clearview Car Wash Oscoda , 5232 N U.S. 23 , Oscoda , MI , 48750",44.432142,-83.3297029,57294,2.0,0.1227401536956183,0.8124091393549838,,,,,,,,
"Clearview Car Wash Ripley , 135 S Ripley St , Alpena , MI , 49707",45.0606433,-83.4526433,96040,10.0,0.0789061281554418,0.4302768515455086,0.6803324828597984,0.7957884754590844,0.8350178989283963,0.9003535582518615,0.919236571761616,0.930054954792793,0.946820516616011,0.9938337245656144
"Clearview Car Wash State Street , 105 Mason St , Alpena , MI , 49707",45.0475512,-83.4484188,84286,6.0,0.2081698464056496,0.2866800657441103,0.3429384305594249,0.5066005680929782,0.7053768903195665,0.9932849498081796,,,,
"Coastline Express , 4447 Main St , Shallotte , NC , 28470",33.984025,-78.3666889,127158,5.0,0.2376611135836113,0.4189603666861958,0.4303764762901062,0.6453701341561673,0.6982867422208892,,,,,
"Conway - Old Morrilton Hwy , 1505 Old Morrilton Hwy , Conway , AR , 72032",35.1113002,-92.4448947,47401,6.0,0.1335047672435078,0.2816975490116784,0.3450625101218851,0.7504853648299383,0.8570204737260396,0.9375508908211329,,,,
"Coors , 5401 Sevilla Ave NW , Albuquerque , NM , 87120",35.1411474,-106.6991857,90649,10.0,0.0397233709024011,0.4452766020882552,0.4509004166386867,0.6800053625629698,0.8129570635993714,0.8365516129897578,0.8795982852691555,0.915158087176007,0.9293843721402856,0.9377105090361896
"Corinth , 2210 S Harper Rd , Corinth , MS , 38834",34.9120866,-88.5034177,81590,5.0,0.1014890952053778,0.1775704216594441,0.3020642115959477,0.79989334137891,0.9587444122399698,,,,,
"Covington , 29 Robbins Rd , Covington , TN , 38019",35.5436772,-89.663502,120052,4.0,0.1040689322488342,0.2058409572683734,0.3650528133684343,0.945151457613309,,,,,,
"Crystal Clean Auto Spa , 75 Old HWY 96 , Bonaire , GA , 31005",32.5488135,-83.5955388,34211,4.0,0.0927670955084598,0.3270921215220017,0.5211274217973767,0.6097892027462211,,,,,,
"DAVID CHEVROLET , 10225 Niagara Falls Blvd , Niagara Falls , NY , 14304",43.0986208,-78.9422278,27438,7.0,0.0501745087603309,0.0861217640795655,0.3953025076717408,0.7316070487544235,0.7601866123814245,0.863868635542097,0.9964485411559038,,,
"DON'S EXPRESS CARWASH , 200 Waldon Rd , Harlan , KY , 40831",36.8192661,-83.3184822,30725,,,,,,,,,,,
"Dallas Kwik-Mart , 2384 Memorial Highway , Dallas , PA , 18612",41.3313887,-75.9536603,24352,7.0,0.0243338962183027,0.0901852285950666,0.2142419741239016,0.3524848534932785,0.816744649205975,0.9828957727165544,0.9923923705485042,,,
"Daybreak Market , 19701 Cochran Blvd , Port Charlotte , FL , 33948",27.0167144,-82.1334659,18894,13.0,0.0488800095802676,0.064475423779158,0.2368565418107152,0.4208437136021527,0.5297410435257799,0.5477199759786546,0.624265042408475,0.6491377504867533,0.7613030920731982,0.8125286458499017
"Delta , 1201 Valley View Dr , Delta , CO , 81416",38.751272,-108.055851,33406,5.0,0.2911684346586866,0.7824899587541302,0.8958081318717545,0.9469796665908308,0.9820042644185304,,,,,
"Detricks Conway , 2280 Church St , Conway , SC , 29526",33.85278,-79.0754414,163251,6.0,0.1051446169179145,0.4801826504743617,0.7518961049021082,0.8882154603182256,0.970027326351429,0.9944198031876668,,,,
"Detricks Glenforest , 1036 Glenforest Rd , Myrtle Beach , SC , 29579",33.7547775,-78.9635923,93464,5.0,0.1742612757648415,0.2862720334672111,0.4100776000583055,0.5024273717103064,0.6117022543834736,,,,,
"Diamond Express , 1801 Lander Ave , Turlock , CA , 95380",37.475985,-120.8494004,3600,6.0,0.0337894241361741,0.1014037946265395,0.1534673505374008,0.199416113269791,0.4348895453129426,0.659227733882889,,,,
"Dickys Bluffton , 1930 N Main St , Bluffton , IN , 46714",40.7705245,-85.166528,44911,2.0,0.0770918715372914,0.1870978423846102,,,,,,,,
"Dickys Decatur , 1022 S 13th St , Decatur , IN , 46733",40.818633,-84.939277,37176,3.0,0.1220830187894311,0.7390147028782755,0.9588744774095892,,,,,,,
"Dickys Huntington , 2600 Walmart Dr , Huntington , IN , 46750",40.898213,-85.5135535,5826,3.0,0.1303162286205874,0.2079264516241654,0.4191319799094364,,,,,,,
"Dog House Auto Spa , 731 W Rogers Blvd , Skiatook , OK , 74070",36.3682186,-96.0117013,28278,5.0,0.082995866890185,0.3584131604296539,0.572921552306032,0.6391766742435471,0.7069275336422642,,,,,
"EXPRESS AUTO WASH , 7167 NY-54 , Bath , NY , 14810",42.3490756,-77.3089603,18393,1.0,0.9522268559385686,,,,,,,,,
